"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"DOMV4","Number of domestic violence incidents where children present","57.00 Number","Number","2014/2015_Apr","2014-04-01","2014-04-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","62.00 Number","Number","2014/2015_May","2014-05-01","2014-05-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","54.00 Number","Number","2014/2015_Jun","2014-06-01","2014-06-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","59.00 Number","Number","2014/2015_Jul","2014-07-01","2014-07-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","161.00 Number","Number","2014/2015_Q2","2014-07-01","2014-09-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","55.00 Number","Number","2014/2015_Aug","2014-08-01","2014-08-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","47.00 Number","Number","2014/2015_Sep","2014-09-01","2014-09-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","49.00 Number","Number","2014/2015_Oct","2014-10-01","2014-10-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","125.00 Number","Number","2014/2015_Q3","2014-10-01","2014-12-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","70.00 Number","Number","2014/2015_Nov","2014-11-01","2014-11-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","55.00 Number","Number","2014/2015_Dec","2014-12-01","2014-12-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","59.00 Number","Number","2014/2015_Jan","2015-01-01","2015-01-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","152.00 Number","Number","2014/2015_Q4","2015-01-01","2015-03-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","37.00 Number","Number","2014/2015_Feb","2015-02-01","2015-02-28","Monthly"
"DOMV4","Number of domestic violence incidents where children present","56.00 Number","Number","2014/2015_Mar","2015-03-01","2015-03-31","Monthly"
"DOMV4","Number of domestic violence incidents where children present","138.00 Number","Number","2015/2016_Q1","2015-04-01","2015-06-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","49.00 Number","Number","2015/2016_Apr","2015-04-01","2015-04-30","Monthly"
"DOMV4","Number of domestic violence incidents where children present","730.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Monthly"
