"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CSP15","Overall Violence (Violence Against Person Def.)","189.00 Number","Number","2014/2015_Jul","2014-07-01","2014-07-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","191.00 Number","Number","2014/2015_Aug","2014-08-01","2014-08-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","204.00 Number","Number","2014/2015_Sep","2014-09-01","2014-09-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","531.00 Number","Number","2014/2015_Q3","2014-10-01","2014-12-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","165.00 Number","Number","2014/2015_Oct","2014-10-01","2014-10-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","186.00 Number","Number","2014/2015_Nov","2014-11-01","2014-11-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","180.00 Number","Number","2014/2015_Dec","2014-12-01","2014-12-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","151.00 Number","Number","2014/2015_Jan","2015-01-01","2015-01-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","491.00 Number","Number","2014/2015_Q4","2015-01-01","2015-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","164.00 Number","Number","2014/2015_Feb","2015-02-01","2015-02-28","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","176.00 Number","Number","2014/2015_Mar","2015-03-01","2015-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","2513.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","631.00 Number","Number","2015/2016_Q1","2015-04-01","2015-06-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","191.00 Number","Number","2015/2016_Apr","2015-04-01","2015-04-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","224.00 Number","Number","2015/2016_May","2015-05-01","2015-05-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","216.00 Number","Number","2015/2016_Jun","2015-06-01","2015-06-30","Monthly"
